DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
087,MOSMAN,755369,NORMAL,"",,1A,"ROYALIST RD","MOSMAN",2088,"1/597445",R3,820.5,M,01/07/2016,2640000,14A(1),6A(1),01/07/2015,2370000,14A(1),6A(1),01/07/2014,2080000,14A(1),6A(1),01/07/2013,1970000,14A(1),6A(1),01/07/2012,1920000,14A(1),6A(1),
087,MOSMAN,755370,NORMAL,"",,11,"BOYLE ST","MOSMAN",2088,"A/343481 1/901478",R3,609.6,M,01/07/2016,2010000,14A(1),6A(1),01/07/2015,1800000,14A(1),6A(1),01/07/2014,1580000,14A(1),6A(1),01/07/2013,1500000,14A(1),6A(1),01/07/2012,1460000,14A(1),6A(1),
087,MOSMAN,755371,NORMAL,"",,13,"BOYLE ST","MOSMAN",2088,"B/343481",R3,746.1,M,01/07/2016,2110000,14A(1),6A(1),01/07/2015,1890000,14A(1),6A(1),01/07/2014,1660000,14A(1),6A(1),01/07/2013,1570000,14A(1),6A(1),01/07/2012,1530000,14A(1),6A(1),
087,MOSMAN,755372,NORMAL,"",,15,"BOYLE ST","MOSMAN",2088,"19/D/2638",R3,720.8,M,01/07/2016,1930000,14A(1),6A(1),01/07/2015,1730000,14A(1),6A(1),01/07/2014,1520000,14A(1),6A(1),01/07/2013,1440000,14A(1),6A(1),01/07/2012,1410000,14A(1),6A(1),
087,MOSMAN,755373,NORMAL,"",,17,"BOYLE ST","MOSMAN",2088,"18/D/2638",R3,746.1,M,01/07/2016,2110000,14A(1),6A(1),01/07/2015,1890000,14A(1),6A(1),01/07/2014,1660000,14A(1),6A(1),01/07/2013,1570000,14A(1),6A(1),01/07/2012,1530000,14A(1),6A(1),
087,MOSMAN,755374,NORMAL,"",,19,"BOYLE ST","MOSMAN",2088,"17/D/2638",R3,777.8,M,01/07/2016,2140000,14A(1),6A(1),01/07/2015,1920000,14A(1),6A(1),01/07/2014,1680000,14A(1),6A(1),01/07/2013,1590000,14A(1),6A(1),01/07/2012,1550000,14A(1),6A(1),
087,MOSMAN,755375,NORMAL,"",,21,"BOYLE ST","MOSMAN",2088,"2/616776",R3,456,M,01/07/2016,1340000,14A(1),6A(1),01/07/2015,1200000,14A(1),6A(1),01/07/2014,1050000,14A(1),6A(1),01/07/2013,991000,14A(1),6A(1),01/07/2012,968000,14A(1),6A(1),
087,MOSMAN,755376,NORMAL,"",,21A,"BOYLE ST","MOSMAN",2088,"1/616776",R3,435.9,M,01/07/2016,1470000,14A(1),6A(1),01/07/2015,1320000,14A(1),6A(1),01/07/2014,1160000,14A(1),6A(1),01/07/2013,1100000,14A(1),6A(1),01/07/2012,1070000,14A(1),6A(1),
087,MOSMAN,755377,NORMAL,"",,23,"BOYLE ST","MOSMAN",2088,"41/A/2365",R3,442.6,M,01/07/2016,1670000,14A(1),6A(1),01/07/2015,1500000,14A(1),6A(1),01/07/2014,1320000,14A(1),6A(1),01/07/2013,1250000,14A(1),6A(1),01/07/2012,1220000,14A(1),6A(1),
087,MOSMAN,755378,NORMAL,"",,25,"BOYLE ST","MOSMAN",2088,"1/A/2365",R3,445.91,M,01/07/2016,1670000,14A(1),6A(1),01/07/2015,1500000,14A(1),6A(1),01/07/2014,1320000,14A(1),6A(1),01/07/2013,1250000,14A(1),6A(1),01/07/2012,1220000,14A(1),6A(1),
087,MOSMAN,755379,NORMAL,"",,27,"BOYLE ST","MOSMAN",2088,"2, 3/A/2365",R3,885.2,M,01/07/2016,2140000,14A(1),14G,01/07/2015,1920000,14A(1),14G,01/07/2014,1680000,14A(1),14G,01/07/2013,1590000,14A(1),14G,01/07/2012,1550000,14A(1),14G,
087,MOSMAN,755380,UNDERSP,"",,75,"BRADLEYS HEAD RD","MOSMAN",2088,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, CP/SP1407",R3,1031,M,01/07/2016,3350000,14A(1),6A(2),01/07/2015,3100000,14A(1),6A(2),01/07/2014,2780000,14A(1),6A(2),01/07/2013,2630000,14A(1),6A(2),01/07/2012,2530000,14A(1),6A(2),
087,MOSMAN,755396,UNDERSP,"",,73,"BRADLEYS HEAD RD","MOSMAN",2088,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, CP/SP1201",R3,1005,M,01/07/2016,3550000,14A(1),6A(2),01/07/2015,3280000,14A(1),6A(2),01/07/2014,2940000,14A(1),6A(2),01/07/2013,2780000,14A(1),6A(2),01/07/2012,2680000,14A(1),6A(2),
087,MOSMAN,755415,UNDERSP,"",,71,"BRADLEYS HEAD RD","MOSMAN",2088,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, CP/SP832",R3,1049.6,M,01/07/2016,3950000,14A(1),6A(2),01/07/2015,3650000,14A(1),6A(2),01/07/2014,3280000,14A(1),6A(2),01/07/2013,3100000,14A(1),6A(2),01/07/2012,2990000,14A(1),6A(2),
087,MOSMAN,755442,UNDERSP,"",,69,"BRADLEYS HEAD RD","MOSMAN",2088,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, CP/SP50618 24, 25/SP53264",R3,1798,M,01/07/2016,5040000,14A(1),6A(1),01/07/2015,4660000,14A(1),6A(1),01/07/2014,4180000,14A(1),6A(1),01/07/2013,3950000,14A(1),6A(1),01/07/2012,3810000,14A(1),6A(1),
087,MOSMAN,755466,UNDERSP,"",,67,"BRADLEYS HEAD RD","MOSMAN",2088,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, CP/SP922",R3,1322,M,01/07/2016,8990000,14A(1),6A(2),01/07/2015,8310000,14A(1),6A(2),01/07/2014,7460000,14A(1),6A(2),01/07/2013,7050000,14A(1),6A(2),01/07/2012,6790000,14A(1),6A(2),
087,MOSMAN,755516,UNDERSP,"",,65,"BRADLEYS HEAD RD","MOSMAN",2088,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, CP/SP13764",R3,426,M,01/07/2016,2200000,14A(1),6A(2),01/07/2015,2030000,14A(1),6A(2),01/07/2014,1820000,14A(1),6A(2),01/07/2013,1720000,14A(1),6A(2),01/07/2012,1660000,14A(1),6A(2),
087,MOSMAN,755529,NORMAL,"",,63,"BRADLEYS HEAD RD","MOSMAN",2088,"10/875220",R2,1143,M,01/07/2016,2630000,14A(1),14G,01/07/2015,2400000,14A(1),14G,01/07/2014,2220000,14A(1),14G,01/07/2013,2120000,14A(1),14G,01/07/2012,2120000,14A(1),14G,
087,MOSMAN,755530,NORMAL,"",,61,"BRADLEYS HEAD RD","MOSMAN",2088,"12, 13, 14/456188",R2,758.8,M,01/07/2016,2380000,14A(1),6A(1),01/07/2015,2170000,14A(1),6A(1),01/07/2014,2170000,14A(1),6A(1),01/07/2013,2070000,14A(1),6A(1),01/07/2012,2070000,14A(1),6A(1),
087,MOSMAN,755531,NORMAL,"",,59,"BRADLEYS HEAD RD","MOSMAN",2088,"1/3479",R2,948.4,M,01/07/2016,2590000,14A(1),14G,01/07/2015,2360000,14A(1),14G,01/07/2014,2180000,14A(1),14G,01/07/2013,2080000,14A(1),14G,01/07/2012,2080000,14A(1),14G,
087,MOSMAN,755532,UNDERSP,"",,57,"BRADLEYS HEAD RD","MOSMAN",2088,"1, 2, CP/SP51720",R2,933,M,01/07/2016,1780000,14A(1),6A(1),01/07/2015,1620000,14A(1),6A(1),01/07/2014,1310000,14A(1),6A(1),01/07/2013,1250000,14A(1),6A(1),01/07/2012,1250000,14A(1),6A(1),
087,MOSMAN,755535,NORMAL,"",,55,"BRADLEYS HEAD RD","MOSMAN",2088,"1/838722",R2,344.1,M,01/07/2016,1440000,14A(1),6A(1),01/07/2015,1310000,14A(1),6A(1),01/07/2014,1210000,14A(1),6A(1),01/07/2013,1150000,14A(1),6A(1),01/07/2012,1190000,14A(1),6A(1),
087,MOSMAN,755536,NORMAL,"",,55A,"BRADLEYS HEAD RD","MOSMAN",2088,"2/838722",R2,329.7,M,01/07/2016,1440000,14A(1),6A(1),01/07/2015,1310000,14A(1),6A(1),01/07/2014,1210000,14A(1),6A(1),01/07/2013,1150000,14A(1),6A(1),01/07/2012,1190000,14A(1),6A(1),
087,MOSMAN,755537,NORMAL,"",,53,"BRADLEYS HEAD RD","MOSMAN",2088,"4, 5/456195",R2,443.6,M,01/07/2016,1760000,14A(1),14G,01/07/2015,1610000,14A(1),14G,01/07/2014,1490000,14A(1),14G,01/07/2013,1420000,14A(1),14G,01/07/2012,1420000,14A(1),14G,
087,MOSMAN,755538,NORMAL,"",,51A,"BRADLEYS HEAD RD","MOSMAN",2088,"PT 11/3479",R2,807,M,01/07/2016,2580000,14A(1),6A(1),01/07/2015,2350000,14A(1),6A(1),01/07/2014,2170000,14A(1),6A(1),01/07/2013,2070000,14A(1),6A(1),01/07/2012,2070000,14A(1),6A(1),
087,MOSMAN,755539,NORMAL,"",,51,"BRADLEYS HEAD RD","MOSMAN",2088,"1/962735",R2,872.6,M,01/07/2016,2850000,14A(1),6A(1),01/07/2015,2600000,14A(1),6A(1),01/07/2014,2720000,14A(1),6A(1),01/07/2013,2600000,14A(1),6A(1),01/07/2012,2600000,14A(1),6A(1),
087,MOSMAN,758061,UNDERSP,"",,10,"HARNETT AVE","MOSMAN",2088,"1, 2, 3, 4, 5, 6, 7, 8, CP/SP18340",R3,1758,M,01/07/2016,3790000,14A(1),6A(1),01/07/2015,3400000,14A(1),6A(1),01/07/2014,2980000,14A(1),6A(1),01/07/2013,2820000,14A(1),6A(1),01/07/2012,2750000,14A(1),6A(1),
087,MOSMAN,758070,NORMAL,"",,6,"HARNETT AVE","MOSMAN",2088,"1/232739",R3,657.6,M,01/07/2016,1520000,14A(1),6A(1),01/07/2015,1360000,14A(1),6A(1),01/07/2014,1190000,14A(1),6A(1),01/07/2013,1130000,14A(1),6A(1),01/07/2012,1100000,14A(1),6A(1),
087,MOSMAN,758071,NORMAL,"",,8,"HARNETT AVE","MOSMAN",2088,"2/232739",R3,556.4,M,01/07/2016,1360000,14A(1),6A(1),01/07/2015,1220000,14A(1),6A(1),01/07/2014,1070000,14A(1),6A(1),01/07/2013,1010000,14A(1),6A(1),01/07/2012,990000,14A(1),6A(1),
