DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
058,GUNDAGAI,2823610,NORMAL,"",,,"FERNHILL RD","ADJUNGBILLY",2727,"51/1023551",RU1,217.4,H,01/07/2016,569000,14A(1),6A(1),01/07/2015,569000,14A(1),6A(1),01/07/2014,517000,14A(1),6A(1),01/07/2013,543000,14A(1),6A(1),01/07/2012,517000,14A(1),6A(1),
058,GUNDAGAI,2854456,NORMAL,"",,62,"OTWAY ST","GUNDAGAI",2722,"10, 11/834314",R1,4596,M,01/07/2016,73000,14A(1),6A(1),01/07/2015,73000,14A(1),6A(1),01/07/2014,69500,14A(1),6A(1),01/07/2013,69500,14A(1),6A(1),01/07/2012,69500,14A(1),6A(1),
058,GUNDAGAI,2819924,NORMAL,"",,5,"SLATE QUARRY RD","SOUTH GUNDAGAI",2722,"2/1025782",RU1,7350,M,01/07/2016,40110,14A(1),6A(1),01/07/2015,38200,14A(1),6A(1),01/07/2014,38200,14A(1),6A(1),01/07/2013,38200,14A(1),6A(1),01/07/2012,38200,14A(1),6A(1),
058,GUNDAGAI,2819927,NORMAL,"",,370,"BRUNGLE RD","SOUTH GUNDAGAI",2722,"5/1025782",RU1,1828,M,01/07/2016,21945,14A(1),6A(1),01/07/2015,20900,14A(1),6A(1),01/07/2014,20900,14A(1),6A(1),01/07/2013,20900,14A(1),6A(1),01/07/2012,20900,14A(1),6A(1),
058,GUNDAGAI,2878219,NORMAL,"",,,"RENO RD","JONES CREEK",2722,"191, 192/751415 1/1016159 Enclosure Permit 335577",RU1,36.59,H,01/07/2016,70851,14A(1),14I,01/07/2015,67800,14A(1),14I,01/07/2014,64600,14A(1),14I,01/07/2013,64600,14A(1),14I,01/07/2012,64600,14A(1),6A(1),
058,GUNDAGAI,2878220,NORMAL,"",,,"RENO RD","JONES CREEK",2722,"78, 193, 223, 224, 226/751415 156, 191/751420 274/751421 2/1016159",RU1,202.29,H,01/07/2016,155000,14A(1),6A(1),01/07/2015,155000,14A(1),6A(1),01/07/2014,141000,14A(1),6A(1),01/07/2013,141000,14A(1),6A(1),01/07/2012,134000,14A(1),6A(1),
058,GUNDAGAI,2864787,NORMAL,"",,,"ROSEDALE RD","TUMBLONG",2729,"21/1034953",RU1,142.7,H,01/07/2016,250000,14A(1),6A(1),01/07/2015,250000,14A(1),6A(1),01/07/2014,227000,14A(1),6A(1),01/07/2013,227000,14A(1),6A(1),01/07/2012,216000,14A(1),6A(1),
058,GUNDAGAI,2878905,NORMAL,"",,,"LONG TUNNEL RD","JONES CREEK",2722,"1/1036025",RU1,2.51,H,01/07/2016,51000,14A(1),6A(1),01/07/2015,40100,14A(1),6A(1),01/07/2014,40100,14A(1),6A(1),01/07/2013,40100,14A(1),6A(1),01/07/2012,40100,14A(1),6A(1),
058,GUNDAGAI,2879102,NORMAL,"",,1943,"ADELONG RD","TUMBLONG",2729,"1/396336 1/1017965",RU1,33.72,H,01/07/2016,155705,14A(1),6A(1),01/07/2015,149000,14A(1),6A(1),01/07/2014,142000,14A(1),6A(1),01/07/2013,142000,14A(1),6A(1),01/07/2012,142000,14A(1),6A(1),
058,GUNDAGAI,2885403,NORMAL,"",,17,"SPRINGFLAT DR","GUNDAGAI",2722,"8/1037047",R5,4236,M,01/07/2016,52300,14A(1),6A(1),01/07/2015,52300,14A(1),6A(1),01/07/2014,47500,14A(1),6A(1),01/07/2013,50000,14A(1),6A(1),01/07/2012,25400,14A(1),6A(1),
058,GUNDAGAI,2882364,NORMAL,"",,209,"TARRABANDRA RD","SOUTH GUNDAGAI",2722,"1/1037040",RU1,1.018,H,01/07/2016,28100,14A(1),6A(1),01/07/2015,28100,14A(1),6A(1),01/07/2014,26800,14A(1),6A(1),01/07/2013,26800,14A(1),6A(1),01/07/2012,26800,14A(1),6A(1),
058,GUNDAGAI,2882365,NORMAL,"",,,"TARRABANDRA RD","SOUTH GUNDAGAI",2722,"2/1037040",RU1,27.51,H,01/07/2016,197505,14A(1),6A(1),01/07/2015,189000,14A(1),6A(1),01/07/2014,180000,14A(1),6A(1),01/07/2013,180000,14A(1),6A(1),01/07/2012,180000,14A(1),6A(1),
058,GUNDAGAI,2879975,NORMAL,"",,128,"MOUNT ST","SOUTH GUNDAGAI",2722,"15/54/758915",B4,2023,M,01/07/2016,60500,14A(1),6A(1),01/07/2015,60500,14A(1),6A(1),01/07/2014,60500,14A(1),6A(1),01/07/2013,55000,14A(1),6A(1),01/07/2012,50000,14A(1),6A(1),
058,GUNDAGAI,2873527,NORMAL,"",,70,"EAGLE ST","SOUTH GUNDAGAI",2722,"5/27/758915",R1,2023,M,01/07/2016,45900,14A(1),6A(1),01/07/2015,45900,14A(1),6A(1),01/07/2014,43700,14A(1),6A(1),01/07/2013,43700,14A(1),6A(1),01/07/2012,43700,14A(1),6A(1),
058,GUNDAGAI,2873528,NORMAL,"",,72,"EAGLE ST","SOUTH GUNDAGAI",2722,"6, 7, 8, 9, 10/27/758915",R1,1.012,H,01/07/2016,125000,14A(1),6A(1),01/07/2015,125000,14A(1),6A(1),01/07/2014,125000,14A(1),6A(1),01/07/2013,119000,14A(1),6A(1),01/07/2012,113000,14A(1),6A(1),
058,GUNDAGAI,2907966,NORMAL,"",,1958,"BURRA RD","GUNDAGAI",2722,"1/1010493",RU1,209.3,H,01/07/2016,356000,14A(1),6A(1),01/07/2015,356000,14A(1),6A(1),01/07/2014,324000,14A(1),6A(1),01/07/2013,324000,14A(1),6A(1),01/07/2012,309000,14A(1),6A(1),
058,GUNDAGAI,2908017,NORMAL,"",,119,"BACK STATION CREEK RD","GUNDAGAI",2722,"219/751415",RU1,8.094,H,01/07/2016,110000,14A(1),6A(1),01/07/2015,100000,14A(1),6A(1),01/07/2014,99800,14A(1),6A(1),01/07/2013,105000,14A(1),6A(1),01/07/2012,111000,14A(1),6A(1),
058,GUNDAGAI,2933771,NORMAL,"",,275,"COOLAC RD","COOLAC",2727,"3, 4/828084",RU1,8.6,H,01/07/2016,94050,14A(1),6A(1),01/07/2015,85500,14A(1),6A(1),01/07/2014,81400,14A(1),6A(1),01/07/2013,85700,14A(1),6A(1),01/07/2012,90200,14A(1),6A(1),
058,GUNDAGAI,2933784,NORMAL,"",,20,"ROSEDALE RD","TUMBLONG",2729,"1/248426 10/260645",RU1,14.3,H,01/07/2016,54120,14A(1),6A(1),01/07/2015,49200,14A(1),6A(1),01/07/2014,46900,14A(1),6A(1),01/07/2013,49400,14A(1),6A(1),01/07/2012,52000,14A(1),6A(1),
058,GUNDAGAI,2898532,NORMAL,"",,,"HUME HWY","GUNDAGAI",2722,"1/107392",RU1,227.6,M,01/07/2016,2930,14A(1),6A(1),01/07/2015,2790,14A(1),6A(1),01/07/2014,2790,14A(1),6A(1),01/07/2013,2790,14A(1),6A(1),01/07/2012,2790,14A(1),6A(1),
058,GUNDAGAI,2898539,NORMAL,"",,,"HUME HWY","GUNDAGAI",2722,"1/91524",RU1,227.6,M,01/07/2016,2930,14A(1),6A(1),01/07/2015,2790,14A(1),6A(1),01/07/2014,2790,14A(1),6A(1),01/07/2013,2790,14A(1),6A(1),01/07/2012,2790,14A(1),6A(1),
058,GUNDAGAI,2898544,NORMAL,"",,,"HUME HWY","GUNDAGAI",2722,"2/107413",RU1,227.6,M,01/07/2016,2930,14A(1),6A(1),01/07/2015,2790,14A(1),6A(1),01/07/2014,2790,14A(1),6A(1),01/07/2013,2790,14A(1),6A(1),01/07/2012,2790,14A(1),6A(1),
058,GUNDAGAI,2898545,NORMAL,"",,,"HUME HWY","GUNDAGAI",2722,"1/107661",RU1,227.6,M,01/07/2016,2930,14A(1),6A(1),01/07/2015,2790,14A(1),6A(1),01/07/2014,2790,14A(1),6A(1),01/07/2013,2790,14A(1),6A(1),01/07/2012,2790,14A(1),6A(1),
058,GUNDAGAI,2898547,NORMAL,"",,,"HUME HWY","COOLAC",2727,"1/107271",RU1,227.6,M,01/07/2016,2930,14A(1),6A(1),01/07/2015,2790,14A(1),6A(1),01/07/2014,2790,14A(1),6A(1),01/07/2013,2790,14A(1),6A(1),01/07/2012,2790,14A(1),6A(1),
058,GUNDAGAI,2908595,NORMAL,"",,222,"LEWINS LANE","TUMBLONG",2729,"1/986237",RU1,2295,M,01/07/2016,7360,14A(1),6A(1),01/07/2015,7010,14A(1),6A(1),01/07/2014,7010,14A(1),6A(1),01/07/2013,7010,14A(1),6A(1),01/07/2012,7010,14A(1),6A(1),
058,GUNDAGAI,2920134,NORMAL,"",,101,"WILLIAM ST","GUNDAGAI",2722,"11, 12/263420",R1,2240,M,01/07/2016,57900,14A(1),6A(1),01/07/2015,57900,14A(1),6A(1),01/07/2014,55100,14A(1),6A(1),01/07/2013,55100,14A(1),6A(1),01/07/2012,55100,14A(1),6A(1),
058,GUNDAGAI,2941605,NORMAL,"",,39,"FULLERS LANE","SOUTH GUNDAGAI",2722,"2/1085727 1/1117540",RU1,16.47,H,01/07/2016,115500,14A(1),6A(1),01/07/2015,105000,14A(1),6A(1),01/07/2014,99800,14A(1),6A(1),01/07/2013,105000,14A(1),6A(1),01/07/2012,111000,14A(1),6A(1),
058,GUNDAGAI,2920283,NORMAL,"",,404,"RENO RD","JONES CREEK",2722,"2/831854",RU1,19.82,H,01/07/2016,128700,14A(1),6A(1),01/07/2015,117000,14A(1),6A(1),01/07/2014,111000,14A(1),6A(1),01/07/2013,117000,14A(1),6A(1),01/07/2012,123000,14A(1),6A(1),
058,GUNDAGAI,2920286,NORMAL,"",,17,"RIDGE ST","SOUTH GUNDAGAI",2722,"11/633209",R1,940.3,M,01/07/2016,32300,14A(1),6A(1),01/07/2015,32300,14A(1),6A(1),01/07/2014,30800,14A(1),6A(1),01/07/2013,30800,14A(1),6A(1),01/07/2012,29300,14A(1),6A(1),
058,GUNDAGAI,2920287,NORMAL,"",,23,"RIDGE ST","SOUTH GUNDAGAI",2722,"12/633209",R1,1106,M,01/07/2016,34500,14A(1),6A(1),01/07/2015,34500,14A(1),6A(1),01/07/2014,32900,14A(1),6A(1),01/07/2013,32900,14A(1),6A(1),01/07/2012,31300,14A(1),6A(1),
058,GUNDAGAI,2927492,NORMAL,"",,945,"TARRABANDRA RD","SOUTH GUNDAGAI",2722,"36/1043248",RU1,5.554,H,01/07/2016,115500,14A(1),6A(1),01/07/2015,105000,14A(1),6A(1),01/07/2014,99800,14A(1),6A(1),01/07/2013,105000,14A(1),6A(1),01/07/2012,111000,14A(1),6A(1),
058,GUNDAGAI,2918542,NORMAL,"",,654,"HUME HWY","GUNDAGAI",2722,"1/1042435",RU1,4.226,H,01/07/2016,58410,14A(1),6A(1),01/07/2015,53100,14A(1),6A(1),01/07/2014,50600,14A(1),6A(1),01/07/2013,53300,14A(1),6A(1),01/07/2012,56100,14A(1),6A(1),
058,GUNDAGAI,2918543,NORMAL,"",,610,"HUME HWY","GUNDAGAI",2722,"2/1042435",RU1,13.89,H,01/07/2016,115500,14A(1),6A(1),01/07/2015,105000,14A(1),6A(1),01/07/2014,99800,14A(1),6A(1),01/07/2013,105000,14A(1),6A(1),01/07/2012,111000,14A(1),6A(1),
058,GUNDAGAI,2938538,NORMAL,"",,328,"BRUNGLE RD","SOUTH GUNDAGAI",2722,"14/1037641",RU1,9544,M,01/07/2016,66885,14A(1),6A(1),01/07/2015,63700,14A(1),6A(1),01/07/2014,63700,14A(1),6A(1),01/07/2013,63700,14A(1),6A(1),01/07/2012,63700,14A(1),6A(1),
058,GUNDAGAI,2946764,NORMAL,"",,104,"LONG TUNNEL RD","JONES CREEK",2722,"184/751415",RU1,8.093,H,01/07/2016,75000,14A(1),6A(1),01/07/2015,53100,14A(1),6A(1),01/07/2014,50600,14A(1),6A(1),01/07/2013,53300,14A(1),6A(1),01/07/2012,56100,14A(1),6A(1),
058,GUNDAGAI,2907077,NORMAL,"",,2988,"GOCUP RD","SOUTH GUNDAGAI",2722,"105, 106, 157/757248 1, 2/883610",RU1,18.17,H,01/07/2016,183700,14A(1),6A(1),01/07/2015,167000,14A(1),6A(1),01/07/2014,159000,14A(1),6A(1),01/07/2013,167000,14A(1),6A(1),01/07/2012,176000,14A(1),6A(1),
058,GUNDAGAI,2907088,NORMAL,"",,,"GOCUP RD","SOUTH GUNDAGAI",2722,"7/883610",RU1,4.082,H,01/07/2016,107470,14A(1),6A(1),01/07/2015,97700,14A(1),6A(1),01/07/2014,93000,14A(1),6A(1),01/07/2013,97900,14A(1),6A(1),01/07/2012,103000,14A(1),6A(1),
058,GUNDAGAI,2897609,NORMAL,"",,445,"RENO RD","JONES CREEK",2722,"1/841293",RU1,23.6,H,01/07/2016,119130,14A(1),6A(1),01/07/2015,114000,14A(1),6A(1),01/07/2014,109000,14A(1),6A(1),01/07/2013,109000,14A(1),6A(1),01/07/2012,109000,14A(1),6A(1),
058,GUNDAGAI,2907415,NORMAL,"",,,"SYLVIAS GAP RD","TUMBLONG",2729,"1/107422",RU1,227.6,M,01/07/2016,2930,14A(1),6A(1),01/07/2015,2790,14A(1),6A(1),01/07/2014,2790,14A(1),6A(1),01/07/2013,2540,14A(1),6A(1),01/07/2012,2540,14A(1),6A(1),
058,GUNDAGAI,2907459,NORMAL,"",,165,"PUNCH ST","GUNDAGAI",2722,"2/632979",R1,1134,M,01/07/2016,39900,14A(1),6A(1),01/07/2015,39900,14A(1),6A(1),01/07/2014,38000,14A(1),6A(1),01/07/2013,38000,14A(1),6A(1),01/07/2012,36200,14A(1),6A(1),
058,GUNDAGAI,2907460,NORMAL,"",,172,"HANLEY ST","GUNDAGAI",2722,"A/162729 15/46/758785",R1,4379,M,01/07/2016,69500,14A(1),6A(1),01/07/2015,69500,14A(1),6A(1),01/07/2014,66200,14A(1),6A(1),01/07/2013,66200,14A(1),6A(1),01/07/2012,66200,14A(1),6A(1),
058,GUNDAGAI,2907462,NORMAL,"",,31,"TUMUT ST","SOUTH GUNDAGAI",2722,"3/998919",R1,1998,M,01/07/2016,42200,14A(1),6A(1),01/07/2015,42200,14A(1),6A(1),01/07/2014,40200,14A(1),6A(1),01/07/2013,43900,14A(1),6A(1),01/07/2012,41800,14A(1),6A(1),
058,GUNDAGAI,2907463,NORMAL,"",,33,"TUMUT ST","SOUTH GUNDAGAI",2722,"2/3/758915",R1,2023,M,01/07/2016,42200,14A(1),6A(1),01/07/2015,42200,14A(1),6A(1),01/07/2014,40200,14A(1),6A(1),01/07/2013,40200,14A(1),6A(1),01/07/2012,40200,14A(1),6A(1),
058,GUNDAGAI,2907466,NORMAL,"",,,"NANGUS RD","NANGUS",2722,"1/89738",RU1,145.4,M,01/07/2016,2667,14A(1),6A(1),01/07/2015,2540,14A(1),6A(1),01/07/2014,2540,14A(1),6A(1),01/07/2013,2540,14A(1),6A(1),01/07/2012,2540,14A(1),6A(1),
