DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
242,GUYRA,2857434,NORMAL,"PT OFTARA",,6775,"GUYRA RD","GUYRA",2365,"11/1033431",RU1,23.28,H,01/07/2016,160000,14A(1),6A(1),01/07/2015,153000,14A(1),6A(1),01/07/2014,146000,14A(1),6A(1),01/07/2013,146000,14A(1),6A(1),01/07/2012,154000,14A(1),6A(1),
242,GUYRA,2860898,NORMAL,"MAREEN",,244,"HOWELL RD","TINGHA",2369,"88/753655",RU1,8094,M,01/07/2016,8000,14A(1),6A(1),01/07/2015,8000,14A(1),6A(1),01/07/2014,8000,14A(1),6A(1),01/07/2013,8000,14A(1),6A(1),01/07/2012,8000,14A(1),6A(1),
242,GUYRA,2867941,NORMAL,"",,18,"ROBINSONS LANE","GUYRA",2365,"9/1035218",R5,5.2,H,01/07/2016,169000,14A(1),6A(1),01/07/2015,162000,14A(1),6A(1),01/07/2014,162000,14A(1),6A(1),01/07/2013,171000,14A(1),6A(1),01/07/2012,180000,14A(1),6A(1),
242,GUYRA,2868015,NORMAL,"",,581,"HILTON RD","NEW VALLEY",2365,"2/712834",RU1,871,H,01/07/2016,352000,14A(1),6A(1),01/07/2015,352000,14A(1),6A(1),01/07/2014,391000,14A(1),6A(1),01/07/2013,391000,14A(1),6A(1),01/07/2012,411000,14A(1),6A(1),
242,GUYRA,2868342,NORMAL,"",,1125,"BLACK MOUNTAIN RD","BLACK MOUNTAIN",2365,"1/186676 91, 92/755823",RU1,80.13,H,01/07/2016,409000,14A(1),6A(1),01/07/2015,409000,14A(1),6A(1),01/07/2014,389000,14A(1),6A(1),01/07/2013,389000,14A(1),6A(1),01/07/2012,433000,14A(1),6A(1),
242,GUYRA,2868351,NORMAL,"",,56,"LLANGOTHLIN RD","GUYRA",2365,"10/6060 151/811823",R1,2.722,H,01/07/2016,134000,14A(1),6A(1),01/07/2015,135000,14A(1),6A(1),01/07/2014,94800,14A(1),6A(1),01/07/2013,101000,14A(1),6A(1),01/07/2012,106000,14A(1),6A(1),
242,GUYRA,2889232,NORMAL,"FLEETWOOD",,458,"FLEETWOOD RD","GUYRA",2365,"31/1037928",RU1,258.9,H,01/07/2016,155000,14A(1),6A(1),01/07/2015,155000,14A(1),6A(1),01/07/2014,155000,14A(1),6A(1),01/07/2013,155000,14A(1),6A(1),01/07/2012,155000,14A(1),6A(1),
242,GUYRA,2889233,NORMAL,"",,509,"FLEETWOOD RD","GUYRA",2365,"32/1037928",RU1,218.6,H,01/07/2016,153000,14A(1),6A(1),01/07/2015,153000,14A(1),6A(1),01/07/2014,153000,14A(1),6A(1),01/07/2013,153000,14A(1),6A(1),01/07/2012,153000,14A(1),6A(1),
242,GUYRA,2871886,NORMAL,"",,610A,"PADDYSLAND RD","THE GULF",2365,"20, 21/751485 Enclosure Permit 16452",RU1,64.75,H,01/07/2016,135000,14A(1),14I,01/07/2015,135000,14A(1),14I,01/07/2014,140000,14A(2),14I,01/07/2013,140000,14A(2),14I,01/07/2012,140000,14A(1),6A(1),
242,GUYRA,2873198,NORMAL,"",,996,"MOUNT MITCHELL RD","BACKWATER",2365,"PT 14/751457",RU1,1619,H,01/07/2016,283000,14A(1),6A(1)/28,01/07/2015,283000,14A(1),6A(1)/28,01/07/2014,283000,14A(1),6A(1)/28,01/07/2013,283000,14A(1),6A(1)/28,01/07/2012,356000,14A(1),6A(1)/28,
242,GUYRA,2873552,NORMAL,"GOODVIEW",,434B,"TUBBAMURRA RD","TUBBAMURRA",2365,"8, 37/751482",RU1,36.421,H,01/07/2016,247000,14A(1),6A(1),01/07/2015,247000,14A(1),6A(1),01/07/2014,235000,14A(1),6A(1),01/07/2013,235000,14A(1),6A(1),01/07/2012,235000,14A(1),6A(1),
