DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
074,GRIFFITH,2860089,NORMAL,"",,2626,"MALLEE POINT RD","YENDA",2681,"2/844597 Farm Number 2626",RU1,96.58,H,01/07/2016,330000,14A(1),6A(3),01/07/2015,275000,14A(1),6A(3),01/07/2014,275000,14A(1),6A(3),01/07/2013,275000,14A(1),6A(3),01/07/2012,275000,14A(1),6A(3),
074,GRIFFITH,2840875,NORMAL,"",,2361,"WHITE RD","THARBOGANG",2680,"5/1030767",RU1,104.6,H,01/07/2016,343000,14A(1),6A(3),01/07/2015,343000,14A(1),6A(3),01/07/2014,312000,14A(1),6A(3),01/07/2013,312000,14A(1),6A(3),01/07/2012,367000,14A(1),6A(3),
074,GRIFFITH,2818974,NORMAL,"",,1308,"KIDMAN WAY","THARBOGANG",2680,"874/751709 Farm Number pt 1308",RU1,9.79,H,01/07/2016,178000,14A(1),6A(3),01/07/2015,178000,14A(1),6A(3),01/07/2014,162000,14A(1),6A(3),01/07/2013,162000,14A(1),6A(3),01/07/2012,180000,14A(1),6A(3),
074,GRIFFITH,2818975,NORMAL,"",,1308A,"KIDMAN WAY","THARBOGANG",2680,"199/756035",RU1,2.43,H,01/07/2016,121000,14A(1),6A(3),01/07/2015,121000,14A(1),6A(3),01/07/2014,115000,14A(1),6A(3),01/07/2013,115000,14A(1),6A(3),01/07/2012,115000,14A(1),6A(3),
074,GRIFFITH,2818980,NORMAL,"",,82,"MCCARTHY RD","LAKE WYANGAN",2680,"2/1019423 & P O Farm Number 1868",RU4,13.87,H,01/07/2016,186000,14A(1),6A(3),01/07/2015,186000,14A(1),6A(3),01/07/2014,169000,14A(1),6A(3),01/07/2013,169000,14A(1),6A(3),01/07/2012,199000,14A(1),6A(3),
074,GRIFFITH,2841339,NORMAL,"",,34-50,"YARRAN ST","HANWOOD",2680,"156, 157/751709 Crown Reserve 96428 Crown Reserve 96429",RE1,6.64,H,01/07/2016,773000,14A(1),6A(1),01/07/2015,676000,14A(1),6A(1),01/07/2014,676000,14A(1),6A(1),01/07/2013,676000,14A(1),6A(1),01/07/2012,1060000,14A(1),6A(1),
074,GRIFFITH,2841394,NORMAL,"",,2586,"BURLEY GRIFFIN WAY","YENDA",2681,"2/800029 Irrigation Farm Purchase 2586",RU1,35.54,H,01/07/2016,186000,14A(1),6A(3)/14I,01/07/2015,186000,14A(1),6A(3)/14I,01/07/2014,169000,14A(1),6A(3)/14I,01/07/2013,169000,14A(1),6A(3)/14I,01/07/2012,188000,14A(1),6A(3)/14I,
074,GRIFFITH,2845207,NORMAL,"",,1018,"BROGDEN RD","BENEREMBAH",2680,"37/756070 1/1026847 WS 031592",RU1,309.34,H,01/07/2016,661000,14A(1),6A(3),01/07/2015,550000,14A(1),6A(3),01/07/2014,550000,14A(1),6A(3),01/07/2013,550000,14A(1),6A(3),01/07/2012,550000,14A(1),6A(3),
074,GRIFFITH,2845209,NORMAL,"",,15B,"BROGDEN RD","THARBOGANG",2680,"2/1026847 WB 186878",RU1,385.5,H,01/07/2016,848000,14A(1),6A(3),01/07/2015,706000,14A(1),6A(3),01/07/2014,706000,14A(1),6A(3),01/07/2013,706000,14A(1),6A(3),01/07/2012,706000,14A(1),6A(3),
074,GRIFFITH,2835793,NORMAL,"",,190A-202A,"WAKADEN ST","GRIFFITH",2680,"1/1029038",R1,6366,M,01/07/2016,583000,14A(1),6A(1),01/07/2015,480000,14A(1),6A(1),01/07/2014,436000,14A(1),6A(1),01/07/2013,484000,14A(1),6A(1),01/07/2012,509000,14A(1),6A(1),
074,GRIFFITH,2848541,NORMAL,"",,889,"WATKINS AVE","GRIFFITH",2680,"1/1031866 Farm Number pt 889",R5,8015,M,01/07/2016,250000,14A(1),6A(1),01/07/2015,238000,14A(1),6A(1),01/07/2014,227000,14A(1),6A(1),01/07/2013,227000,14A(1),6A(1),01/07/2012,227000,14A(1),6A(1),
074,GRIFFITH,2835856,NORMAL,"",,15,"ELIZABETH DR","LAKE WYANGAN",2680,"1/1030157",R5,3198,M,01/07/2016,178000,14A(1),6A(1),01/07/2015,153000,14A(1),6A(1),01/07/2014,146000,14A(1),6A(1),01/07/2013,146000,14A(1),6A(1),01/07/2012,146000,14A(1),6A(1),
074,GRIFFITH,2835857,NORMAL,"",,6,"ELIZABETH DR","LAKE WYANGAN",2680,"10/1030157",R5,3842,M,01/07/2016,191000,14A(1),6A(1),01/07/2015,164000,14A(1),6A(1),01/07/2014,156000,14A(1),6A(1),01/07/2013,156000,14A(1),6A(1),01/07/2012,156000,14A(1),6A(1),
074,GRIFFITH,2835858,NORMAL,"",,5,"ELIZABETH DR","LAKE WYANGAN",2680,"11/1030157",R5,3149,M,01/07/2016,182000,14A(1),6A(1),01/07/2015,157000,14A(1),6A(1),01/07/2014,150000,14A(1),6A(1),01/07/2013,150000,14A(1),6A(1),01/07/2012,150000,14A(1),6A(1),
074,GRIFFITH,2835859,NORMAL,"",,4,"ELIZABETH DR","LAKE WYANGAN",2680,"12/1030157",R5,3874,M,01/07/2016,191000,14A(1),6A(1),01/07/2015,164000,14A(1),6A(1),01/07/2014,156000,14A(1),6A(1),01/07/2013,156000,14A(1),6A(1),01/07/2012,156000,14A(1),6A(1),
074,GRIFFITH,2835860,NORMAL,"",,3,"ELIZABETH DR","LAKE WYANGAN",2680,"13/1030157",R5,2987,M,01/07/2016,178000,14A(1),6A(1),01/07/2015,153000,14A(1),6A(1),01/07/2014,146000,14A(1),6A(1),01/07/2013,146000,14A(1),6A(1),01/07/2012,146000,14A(1),6A(1),
