DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
239,BOURKE,2850698,NORMAL,"",,2,"BOKIRA ST","NORTH BOURKE",2840,"27/831497",RU5,188.3,M,01/07/2016,900,14A(1),14C,01/07/2015,900,14A(1),14C,01/07/2014,500,14A(1),14C,01/07/2013,750,14A(1),14C,01/07/2012,500,14A(1),14C,
239,BOURKE,2860088,NORMAL,"MT OXLEY TOWER",,,"TARCOON RD","BOURKE",2840,"13/786330",RU1,4058,M,01/07/2016,1400,14A(1),14C,01/07/2015,1400,14A(1),14C,01/07/2014,1400,14A(1),14C,01/07/2013,1430,14A(1),14C,01/07/2012,1300,14A(1),14C,
239,BOURKE,2851290,NORMAL,"",,158,"ANSON ST","BOURKE",2840,"7/98/758144",R1,917,M,01/07/2016,18000,14A(1),14C,01/07/2015,18000,14A(1),14C,01/07/2014,18000,14A(1),14C,01/07/2013,18000,14A(1),14C,01/07/2012,18000,14A(1),14C,
239,BOURKE,2860846,NORMAL,"MAYS BEND RESERVE",,,"","BOURKE",2840,"1, 3, 4, 5, 9/753546 7312, 7313, 7314, 7315, 7316, PT 7319/1182264 Licence 316627",RU1,1047.7,H,01/07/2016,238500,14A(1),14C,01/07/2015,159000,14A(1),14C,01/07/2014,159000,14A(1),14C,01/07/2013,159000,14A(1),14C,01/07/2012,145000,14A(1),14C,
239,BOURKE,2841667,NORMAL,"",,2,"SID COLEMAN DR","NORTH BOURKE",2840,"61/1027306",IN1,7343,M,01/07/2016,21800,14A(1),14C,01/07/2015,21800,14A(1),14C,01/07/2014,21800,14A(1),14C,01/07/2013,21800,14A(1),14C,01/07/2012,10000,14A(1),14C,
239,BOURKE,2841668,NORMAL,"",,4,"SID COLEMAN DR","NORTH BOURKE",2840,"62/1027306",SP2,7925,M,01/07/2016,22000,14A(1),14C,01/07/2015,22000,14A(1),14C,01/07/2014,22000,14A(1),14C,01/07/2013,22000,14A(1),14C,01/07/2012,10000,14A(1),14C,
239,BOURKE,2841669,NORMAL,"",,6,"SID COLEMAN DR","NORTH BOURKE",2840,"63/1027306",IN1,4165,M,01/07/2016,19600,14A(1),14C,01/07/2015,19600,14A(1),14C,01/07/2014,19600,14A(1),14C,01/07/2013,19600,14A(1),14C,01/07/2012,9000,14A(1),14C,
239,BOURKE,2882654,NORMAL,"DALEY PADDOCK",,,"KIDMAN WAY","GUNDERBOOKA",2840,"1/751941 6202/769054 Western Land Lease 1296",RU1,4160.3,H,01/07/2016,186000,14A(1),14C,01/07/2015,124000,14A(1),14C,01/07/2014,124000,14A(1),14C,01/07/2013,124000,14A(1),14C,01/07/2012,104000,14A(1),14C,
239,BOURKE,2880468,NORMAL,"",,19-21,"RICHARD ST","BOURKE",2840,"1, 14/2225 1, 2/350732",B2,2909.28,M,01/07/2016,58500,14A(1),14C,01/07/2015,58500,14A(1),14C,01/07/2014,58500,14A(1),14C,01/07/2013,58500,14A(1),14C,01/07/2012,45000,14A(1),14C,
239,BOURKE,2884171,NORMAL,"THE ANGLE STATION",,,"BOURKE - WILCANNIA RD","BOURKE",2840,"6927/1032628 Western Land Lease 14350",RU1,486.1,H,01/07/2016,95700,14A(1),14C,01/07/2015,63800,14A(1),14C,01/07/2014,63800,14A(1),14C,01/07/2013,63800,14A(1),14C,01/07/2012,58000,14A(1),14C,
