DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
118,BLAYNEY,1250315,NORMAL,"",,4948,"MID WESTERN HWY","CARCOAR",2791,"20/773756 2/809410",RU1,5.36,H,01/07/2016,129280,14A(1),6A(1),01/07/2015,128000,14A(1),6A(1),01/07/2014,128000,14A(1),6A(1),01/07/2013,128000,14A(1),6A(1),01/07/2012,128000,14A(1),6A(1),
118,BLAYNEY,1250316,NORMAL,"",,4656,"MID WESTERN HWY","BLAYNEY",2799,"144, 145, 212/750380 1/944500",RU1,77.59,H,01/07/2016,528337,14A(1),6A(1),01/07/2015,479000,14A(1),6A(1),01/07/2014,479000,14A(1),6A(1),01/07/2013,479000,14A(1),6A(1),01/07/2012,479000,14A(1),6A(1),
118,BLAYNEY,1250318,NORMAL,"",,377,"BROWNS CREEK RD","BROWNS CREEK",2799,"1/819600",R,2.02,H,01/07/2016,174048,14A(1),6A(1),01/07/2015,148000,14A(1),6A(1),01/07/2014,135000,14A(1),6A(1),01/07/2013,135000,14A(1),6A(1),01/07/2012,135000,14A(1),6A(1),
118,BLAYNEY,1250320,NORMAL,"PARK LANE",,371,"BROWNS CREEK RD","BROWNS CREEK",2799,"2/819600",R,2.048,H,01/07/2016,174048,14A(1),6A(1),01/07/2015,148000,14A(1),6A(1),01/07/2014,135000,14A(1),6A(1),01/07/2013,135000,14A(1),6A(1),01/07/2012,135000,14A(1),6A(1),
118,BLAYNEY,1250321,NORMAL,"THE SPOTT",,389,"BROWNS CREEK RD","BROWNS CREEK",2799,"201/603351",R,40.47,H,01/07/2016,435120,14A(1),6A(1),01/07/2015,370000,14A(1),6A(1),01/07/2014,370000,14A(1),6A(1),01/07/2013,370000,14A(1),6A(1),01/07/2012,370000,14A(1),6A(1),
118,BLAYNEY,1250322,NORMAL,"EAGLE VIEW",,579,"BROWNS CREEK RD","BROWNS CREEK",2799,"202/603351",R,41.64,H,01/07/2016,411600,14A(1),6A(1),01/07/2015,350000,14A(1),6A(1),01/07/2014,350000,14A(1),6A(1),01/07/2013,350000,14A(1),6A(1),01/07/2012,350000,14A(1),6A(1),
118,BLAYNEY,1250323,NORMAL,"",,581,"BROWNS CREEK RD","BROWNS CREEK",2799,"204/603351 Enclosure Permit 141039",R,69.66,H,01/07/2016,392784,14A(1),14I,01/07/2015,334000,14A(1),14I,01/07/2014,334000,14A(1),14I,01/07/2013,334000,14A(1),14I,01/07/2012,400000,14A(2),14I,
118,BLAYNEY,1250324,NORMAL,"",,4820,"MID WESTERN HWY","CARCOAR",2791,"A/33206 1/132991 1/132992 143, 144/581175 141, 146/750380 Stranfield Wildlife Refuge No 352",RU1,100.5,H,01/07/2016,511830,14A(1),6A(1),01/07/2015,423000,14A(1),6A(1),01/07/2014,385000,14A(1),6A(1),01/07/2013,385000,14A(1),6A(1),01/07/2012,385000,14A(1),6A(1),
118,BLAYNEY,1250333,NORMAL,"",,4169,"MID WESTERN HWY","BLAYNEY",2799,"1, 2, 3/240749 318/750380",RU1,5.87,H,01/07/2016,95243,14A(1),6A(1),01/07/2015,94300,14A(1),6A(1),01/07/2014,94300,14A(1),6A(1),01/07/2013,94300,14A(1),6A(1),01/07/2012,94300,14A(1),6A(1),
118,BLAYNEY,1250335,NORMAL,"WEEMALA",,114,"LUCKS LANE","BLAYNEY",2799,"315/750380",RU2,40.87,H,01/07/2016,139000,14A(1),6A(1),01/07/2015,139000,14A(1),6A(1),01/07/2014,121000,14A(1),6A(1),01/07/2013,121000,14A(1),6A(1),01/07/2012,121000,14A(1),6A(1),
