DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
240,GILGANDRA,2826814,NORMAL,"",,6,"ARMATREE ST","ARMATREE",2828,"6, 7/3/758031",RU5,4046,M,01/07/2016,6940,14A(1),6A(1),01/07/2015,6940,14A(1),6A(1),01/07/2014,7300,14A(1),6A(1),01/07/2013,8400,14A(1),6A(1),01/07/2012,8400,14A(1),6A(1),
240,GILGANDRA,2977455,NORMAL,"",,387,"NEWELL HWY","GILGANDRA",2827,"1/124533 16/665367 21, 52, 117, 131/753382 1/1047475",RU1,634.2,H,01/07/2016,778000,14A(1),6A(1),01/07/2015,778000,14A(1),6A(1),01/07/2014,648000,14A(1),6A(1),01/07/2013,648000,14A(1),6A(1),01/07/2012,648000,14A(1),6A(1),
240,GILGANDRA,2881758,NORMAL,"",,378,"WAKES LANE","GILGANDRA",2827,"550/1036801",RU1,35.25,H,01/07/2016,90500,14A(1),6A(2),01/07/2015,90500,14A(1),6A(2),01/07/2014,71000,14A(1),6A(2),01/07/2013,71000,14A(1),6A(2),01/07/2012,71000,14A(1),6A(2),
240,GILGANDRA,2875567,NORMAL,"",,1326,"BERIDA-INNISFAIL RD","COLLIE",2827,"34/752576 2/1033263",RU1,997.8,H,01/07/2016,1560000,14A(1),6A(1),01/07/2015,1560000,14A(1),6A(1),01/07/2014,1300000,14A(1),6A(1),01/07/2013,1300000,14A(1),6A(1),01/07/2012,1300000,14A(1),6A(1),
240,GILGANDRA,2875836,NORMAL,"",,57,"WRIGLEY ST","GILGANDRA",2827,"18/628390",R1,1189,M,01/07/2016,23500,14A(1),6A(1),01/07/2015,20900,14A(1),6A(1),01/07/2014,20900,14A(1),6A(1),01/07/2013,16000,14A(1),6A(1),01/07/2012,16000,14A(1),6A(1),
240,GILGANDRA,2875837,NORMAL,"",,96,"WAMBOIN ST","GILGANDRA",2827,"19/628390",R1,864.9,M,01/07/2016,19100,14A(1),6A(1),01/07/2015,17000,14A(1),6A(1),01/07/2014,17000,14A(1),6A(1),01/07/2013,13000,14A(1),6A(1),01/07/2012,13000,14A(1),6A(1),
240,GILGANDRA,2875846,NORMAL,"",,515,"OLD MILL RD","BALLADORAN",2822,"21/752579",RU1,259,H,01/07/2016,215000,14A(1),6A(1),01/07/2015,205000,14A(1),6A(1),01/07/2014,178000,14A(1),6A(1),01/07/2013,178000,14A(1),6A(1),01/07/2012,178000,14A(1),6A(1),
240,GILGANDRA,2875848,NORMAL,"",,6,"MURRAY ST","TOORAWEENAH",2817,"15, 16, 19/5/7415",RU5,2459.6,M,01/07/2016,12900,14A(1),6A(1),01/07/2015,12900,14A(1),6A(1),01/07/2014,12900,14A(1),6A(1),01/07/2013,12900,14A(1),6A(1),01/07/2012,12900,14A(1),6A(1),
240,GILGANDRA,2888810,NORMAL,"",,2073,"GUNDEA RD","MENDOORAN",2842,"31, 32/753406",RU1,1214,H,01/07/2016,872000,14A(1),6A(1),01/07/2015,793000,14A(1),6A(1),01/07/2014,690000,14A(1),6A(1),01/07/2013,690000,14A(1),6A(1),01/07/2012,690000,14A(1),6A(1),
240,GILGANDRA,2888814,NORMAL,"",,1902,"GUNDEA RD","MENDOORAN",2842,"33/753406",RU1,621.4,H,01/07/2016,399000,14A(1),6A(1),01/07/2015,363000,14A(1),6A(1),01/07/2014,316000,14A(1),6A(1),01/07/2013,316000,14A(1),6A(1),01/07/2012,316000,14A(1),6A(1),
