DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
244,LACHLAN,2850768,NORMAL,"",,101,"LORNE ST","LAKE CARGELLIGO",2672,"10/17/758595 9/821592 Licence 547372",RU5,4000,M,01/07/2016,23760,14A(1),14I,01/07/2015,22000,14A(1),14I,01/07/2014,22000,14A(1),14I,01/07/2013,22000,14A(1),14I,01/07/2012,22000,14A(1),14I,
244,LACHLAN,2835121,NORMAL,"",,36-38,"WOOYEO ST","TULLIBIGEAL",2669,"51/1030162",RU5,2023,M,01/07/2016,1000,14A(1),6A(1),01/07/2015,1000,14A(1),6A(1),01/07/2014,1000,14A(1),6A(1),01/07/2013,1000,14A(1),6A(1),01/07/2012,1000,14A(1),6A(1),
244,LACHLAN,2835122,NORMAL,"",,32-34,"WOOYEO ST","TULLIBIGEAL",2669,"52/1030162",RU5,2023,M,01/07/2016,1000,14A(1),6A(1),01/07/2015,1000,14A(1),6A(1),01/07/2014,1000,14A(1),6A(1),01/07/2013,1000,14A(1),6A(1),01/07/2012,1000,14A(1),6A(1),
244,LACHLAN,2835129,NORMAL,"FISHERS",,,"","CONDOBOLIN",2877,"7, 12, 13, 24, 25/752118 10/1030247",RU1,2265.62,H,01/07/2016,1250000,14A(1),6A(1),01/07/2015,848000,14A(1),6A(1),01/07/2014,848000,14A(1),6A(1),01/07/2013,848000,14A(1),6A(1),01/07/2012,848000,14A(1),6A(1),
244,LACHLAN,2860371,NORMAL,"",,,"DANDALOO RD","ALBERT",2873,"1/256153 40/723776 27, 29/753985 Licence 333156",RU1,2053.9,H,01/07/2016,1190000,14A(1),14I,01/07/2015,915000,14A(1),14I,01/07/2014,915000,14A(1),14I,01/07/2013,915000,14A(1),14I,01/07/2012,915000,14A(1),14I,
244,LACHLAN,2835352,NORMAL,"",,,"","FIFIELD",2875,"46/752111 21, 26/752112 Licence 321129",RU1,537.341,H,01/07/2016,343000,14A(1),14I,01/07/2015,264000,14A(1),14I,01/07/2014,264000,14A(1),14I,01/07/2013,264000,14A(1),14I,01/07/2012,264000,14A(1),14I,
244,LACHLAN,2891115,NORMAL,"",,,"FEDERATION ST","ALBERT",2873,"1, 2/4/758012",RU5,2024,M,01/07/2016,1500,14A(1),6A(1),01/07/2015,1500,14A(1),6A(1),01/07/2014,1500,14A(1),6A(1),01/07/2013,1500,14A(1),6A(1),01/07/2012,1500,14A(1),6A(1),
244,LACHLAN,2870858,NORMAL,"",,14-18,"LORNE ST","LAKE CARGELLIGO",2672,"32/1027826",RU5,3017,M,01/07/2016,34668,14A(1),6A(1),01/07/2015,32100,14A(1),6A(1),01/07/2014,32100,14A(1),6A(1),01/07/2013,32100,14A(1),6A(1),01/07/2012,32100,14A(1),6A(1),
244,LACHLAN,2870859,NORMAL,"",,20,"LORNE ST","LAKE CARGELLIGO",2672,"31/1027826",RU5,1005,M,01/07/2016,18036,14A(1),6A(1),01/07/2015,16700,14A(1),6A(1),01/07/2014,16700,14A(1),6A(1),01/07/2013,16700,14A(1),6A(1),01/07/2012,16700,14A(1),6A(1),
244,LACHLAN,2878945,NORMAL,"",,23,"ORANGE ST","CONDOBOLIN",2877,"1/1036466",RU5,551,M,01/07/2016,2200,14A(1),6A(1),01/07/2015,2200,14A(1),6A(1),01/07/2014,2200,14A(1),6A(1),01/07/2013,2200,14A(1),6A(1),01/07/2012,2200,14A(1),6A(1),
244,LACHLAN,2878946,NORMAL,"",,23A,"ORANGE ST","CONDOBOLIN",2877,"2/1036466",RU5,676.2,M,01/07/2016,2200,14A(1),6A(1),01/07/2015,2200,14A(1),6A(1),01/07/2014,2200,14A(1),6A(1),01/07/2013,2200,14A(1),6A(1),01/07/2012,2200,14A(1),6A(1),
244,LACHLAN,2865286,NORMAL,"",,,"","CONDOBOLIN",2877,"4, 5, 28/752087 32/1031744",RU1,2728.18,H,01/07/2016,1120000,14A(1),6A(1),01/07/2015,861000,14A(1),6A(1),01/07/2014,861000,14A(1),6A(1),01/07/2013,861000,14A(1),6A(1),01/07/2012,861000,14A(1),6A(1),
244,LACHLAN,2865304,NORMAL,"",,,"SPRINGVALE RD","CONDOBOLIN",2877,"1/726967 14/752086 31/1031744",RU1,1572.073,H,01/07/2016,666000,14A(1),6A(1),01/07/2015,512000,14A(1),6A(1),01/07/2014,512000,14A(1),6A(1),01/07/2013,512000,14A(1),6A(1),01/07/2012,512000,14A(1),6A(1),
244,LACHLAN,2876869,NORMAL,"",,,"MCINNES ST","LAKE CARGELLIGO",2672,"1/586081 Licence 315962",RU5,5462.5,M,01/07/2016,81900,14A(1),14I,01/07/2015,81900,14A(1),14I,01/07/2014,81900,14A(1),14I,01/07/2013,81900,14A(1),14I,01/07/2012,81900,14A(1),14I,
244,LACHLAN,2889873,NORMAL,"",,61,"OFFICERS PDE","CONDOBOLIN",2877,"2/1035748",RU5,1848,M,01/07/2016,42200,14A(1),6A(1),01/07/2015,42200,14A(1),6A(1),01/07/2014,42200,14A(1),6A(1),01/07/2013,42200,14A(1),6A(1),01/07/2012,37700,14A(1),6A(1),
244,LACHLAN,2889875,NORMAL,"",,59,"OFFICERS PDE","CONDOBOLIN",2877,"3/1035748",RU5,1668,M,01/07/2016,42200,14A(1),6A(1),01/07/2015,42200,14A(1),6A(1),01/07/2014,42200,14A(1),6A(1),01/07/2013,42200,14A(1),6A(1),01/07/2012,37700,14A(1),6A(1),
244,LACHLAN,2889876,NORMAL,"",,57,"OFFICERS PDE","CONDOBOLIN",2877,"4/1035748",RU5,1611,M,01/07/2016,42200,14A(1),6A(1),01/07/2015,42200,14A(1),6A(1),01/07/2014,42200,14A(1),6A(1),01/07/2013,42200,14A(1),6A(1),01/07/2012,37700,14A(1),6A(1),
244,LACHLAN,2889880,NORMAL,"",,51,"OFFICERS PDE","CONDOBOLIN",2877,"6/1035748",RU5,1686,M,01/07/2016,38500,14A(1),6A(1),01/07/2015,38500,14A(1),6A(1),01/07/2014,38500,14A(1),6A(1),01/07/2013,38500,14A(1),6A(1),01/07/2012,34400,14A(1),6A(1),
244,LACHLAN,2869667,NORMAL,"WYONA",,,"","TOTTENHAM",2873,"35/754018",RU1,328.27,H,01/07/2016,148000,14A(1),6A(1),01/07/2015,113000,14A(1),6A(1),01/07/2014,113000,14A(1),6A(1),01/07/2013,113000,14A(1),6A(1),01/07/2012,113000,14A(1),6A(1),
244,LACHLAN,2869669,NORMAL,"DALVANROY",,,"","ALBERT",2873,"37, 39, 43/753983",RU1,765.97,H,01/07/2016,197000,14A(1),6A(1),01/07/2015,152000,14A(1),6A(1),01/07/2014,152000,14A(1),6A(1),01/07/2013,152000,14A(1),6A(1),01/07/2012,152000,14A(1),6A(1),
244,LACHLAN,2877424,NORMAL,"",,7-9,"BRIDGE ST","LAKE CARGELLIGO",2672,"8, 9/6/758595",RU5,4046,M,01/07/2016,27756,14A(1),6A(1),01/07/2015,25700,14A(1),6A(1),01/07/2014,25700,14A(1),6A(1),01/07/2013,25700,14A(1),6A(1),01/07/2012,25700,14A(1),6A(1),
244,LACHLAN,2880622,NORMAL,"",,,"BOLAMS RD","TULLAMORE",2874,"28/1036618",RU1,40.47,H,01/07/2016,31200,14A(1),6A(1),01/07/2015,28800,14A(1),6A(1),01/07/2014,28800,14A(1),6A(1),01/07/2013,28800,14A(1),6A(1),01/07/2012,28800,14A(1),6A(1),
244,LACHLAN,2880623,NORMAL,"",,,"WATTLE VIEW LANE PSH SOMERSET & PSH YRALLA","TULLAMORE",2874,"11/754014 29/1036618",RU1,1465.7,H,01/07/2016,160000,14A(1),6A(1),01/07/2015,124000,14A(1),6A(1),01/07/2014,124000,14A(1),6A(1),01/07/2013,124000,14A(1),6A(1),01/07/2012,124000,14A(1),6A(1),
