DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
301,LIVERPOOL PLAINS,2860493,NORMAL,"",,1753,"COONABARABRAN RD","CAROONA",2343,"198, 199/705055 Licence 386727",RU1,461.5,H,01/07/2016,1850000,14A(1),6A(3)/14I,01/07/2015,1800000,14A(1),6A(3)/14I,01/07/2014,1800000,14A(1),6A(3)/14I,01/07/2013,1610000,14A(1),6A(3),01/07/2012,1610000,14A(1),6A(3),
301,LIVERPOOL PLAINS,2882621,NORMAL,"",,1072,"LOWES CREEK RD","QUIPOLLY",2343,"5/717223",RU1,63.97,H,01/07/2016,125000,14A(1),6A(1),01/07/2015,125000,14A(1),6A(1),01/07/2014,138000,14A(1),6A(1),01/07/2013,138000,14A(1),6A(1),01/07/2012,138000,14A(1),6A(1),
301,LIVERPOOL PLAINS,2879873,NORMAL,"",,436,"SWINGING RIDGES RD","ARDGLEN",2338,"41/566467 311, 312/804745 Enclosure Permit 183436",RU1,89.76,H,01/07/2016,300000,14A(2),14I,01/07/2015,300000,14A(1),6A(1),01/07/2014,300000,14A(1),6A(1),01/07/2013,300000,14A(2),14I,01/07/2012,300000,14A(1),6A(1),
301,LIVERPOOL PLAINS,2879876,NORMAL,"",,20,"CALLAGHANS LANE","QUIRINDI",2343,"11/818449",RU1,68.04,H,01/07/2016,285000,14A(1),6A(1),01/07/2015,285000,14A(1),6A(1),01/07/2014,283000,14A(1),6A(1),01/07/2013,283000,14A(1),6A(1),01/07/2012,283000,14A(1),6A(1),
301,LIVERPOOL PLAINS,2879877,NORMAL,"",,42,"CALLAGHANS LANE","QUIRINDI",2343,"37/842283",RU1,6.368,H,01/07/2016,173000,14A(1),6A(1),01/07/2015,173000,14A(1),6A(1),01/07/2014,173000,14A(1),6A(1),01/07/2013,173000,14A(1),6A(1),01/07/2012,173000,14A(1),6A(1),
301,LIVERPOOL PLAINS,2879881,NORMAL,"",,44,"SILO RD","SPRING RIDGE",2343,"3/579523 2/579524 1/819693 2/1007114 1/1010194 7006/1051818 Licence 318087",RU1,7.432,H,01/07/2016,42500,14A(1),14I,01/07/2015,42500,14A(1),14I,01/07/2014,42500,14A(1),14I,01/07/2013,42500,14A(1),14I,01/07/2012,42500,14A(1),6A(1),
301,LIVERPOOL PLAINS,2879890,NORMAL,"",,38,"BREEZA ST","QUIRINDI",2343,"5/252050",R1,915.2,M,01/07/2016,42500,14A(1),6A(1),01/07/2015,42500,14A(1),6A(1),01/07/2014,42500,14A(1),6A(1),01/07/2013,42500,14A(1),6A(1),01/07/2012,42500,14A(1),6A(1),
301,LIVERPOOL PLAINS,2886412,NORMAL,"MOUNT HELEN",,692,"MOUNT HELEN RD","ARDGLEN",2338,"1/215866",RU1,3711.8,M,01/07/2016,7500,14A(1),6A(2),01/07/2015,7500,14A(1),6A(2),01/07/2014,7500,14A(1),6A(2),01/07/2013,7270,14A(1),6A(1),01/07/2012,7270,14A(1),6A(1),
301,LIVERPOOL PLAINS,2886587,NORMAL,"",,1513,"MERRIWA RD","BIG JACKS CREEK",2339,"1/447384",RU1,208.7,M,01/07/2016,1000,14A(1),6A(1),01/07/2015,1000,14A(1),6A(1),01/07/2014,1000,14A(1),6A(1),01/07/2013,5430,14A(1),6A(1),01/07/2012,5430,14A(1),6A(1),
301,LIVERPOOL PLAINS,2887593,NORMAL,"",,25,"DEEKS RD","WERRIS CREEK",2341,"101/540446",R1,2.102,H,01/07/2016,88200,14A(1),6A(1),01/07/2015,88200,14A(1),6A(1),01/07/2014,88200,14A(1),6A(1),01/07/2013,88200,14A(1),6A(1),01/07/2012,88200,14A(1),6A(1),
