DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
199,URALLA,2845349,NORMAL,"COOPERS HARDWARE",,28,"HILL ST","URALLA",2358,"9/18/759022",B4,2024,M,01/07/2016,162000,14A(1),6A(1),01/07/2015,160000,14A(1),6A(1),01/07/2014,150000,14A(1),6A(1),01/07/2013,143000,14A(1),6A(1),01/07/2012,130000,14A(1),6A(1),
199,URALLA,3132519,NORMAL,"",,20,"PARK ST","URALLA",2358,"1, 2/734240",R1,1165.5,M,01/07/2016,97400,14A(1),6A(1),01/07/2015,88100,14A(1),6A(1),01/07/2014,83700,14A(1),6A(1),01/07/2013,79700,14A(1),6A(1),01/07/2012,71400,14A(1),6A(1),
199,URALLA,2876143,NORMAL,"COTTAGE ROCK",,50,"GOODES RD","ROCKY RIVER",2358,"PT 529, 587/755846",RU2,6.17,H,01/07/2016,195000,14A(1),6A(2),01/07/2015,200000,14A(1),6A(1),01/07/2014,200000,14A(1),6A(1),01/07/2013,200000,14A(1),6A(1),01/07/2012,200000,14A(1),6A(1),
199,URALLA,2868569,NORMAL,"SANDOWN",,33,"TARGET HILL RD","BUNDARRA",2359,"10/715481 1, 2, 3, 4, 5, 6, 7, 8, 9/23/758181",RU1,7.912,H,01/07/2016,59900,14A(1),6A(1),01/07/2015,59900,14A(1),6A(1),01/07/2014,59900,14A(1),6A(1),01/07/2013,59900,14A(1),6A(1),01/07/2012,66500,14A(1),6A(1),
199,URALLA,2877916,NORMAL,"URALLA TYRE SERVICE/BUSHWOOD TIMBER",,36,"HILL ST","URALLA",2358,"2/151842 1/744374",B2,1500.2,M,01/07/2016,125000,14A(1),6A(1),01/07/2015,121000,14A(1),6A(1),01/07/2014,115000,14A(1),6A(1),01/07/2013,110000,14A(1),6A(1),01/07/2012,100000,14A(1),6A(1),
199,URALLA,2940179,NORMAL,"HARWOOD",,555,"TORRYBURN RD","YARROWYCK",2358,"219/42020 1/1041531 Enclosure Permit 15707",RU2,1326.6,H,01/07/2016,1370000,14A(2),6A1/14I,01/07/2015,1310000,14A(2),6A1/14I,01/07/2014,1310000,14A(1),6A(1),01/07/2013,1310000,14A(1),6A(1),01/07/2012,1310000,14A(1),6A(1),
199,URALLA,2940363,NORMAL,"",,30,"PARK ST","URALLA",2358,"11/1/759022",R1,1935,M,01/07/2016,155000,14A(1),6A(1),01/07/2015,125000,14A(1),6A(1),01/07/2014,119000,14A(1),6A(1),01/07/2013,113000,14A(1),6A(1),01/07/2012,101000,14A(1),6A(1),
199,URALLA,2904883,NORMAL,"MOUNT MONOPOLY",,1188,"THUNDERBOLTS WAY","YARROWYCK",2358,"20/755837 2/845977",RU2,544.1,H,01/07/2016,1140000,14A(1),6A(1),01/07/2015,1030000,14A(1),6A(1),01/07/2014,1030000,14A(1),6A(1),01/07/2013,983000,14A(1),6A(1),01/07/2012,983000,14A(1),6A(1),
199,URALLA,2904947,NORMAL,"",,9,"ROCKLEA RD","INVERGOWRIE",2350,"3/1028033",R5,4.131,H,01/07/2016,167000,14A(1),6A(1),01/07/2015,145000,14A(1),6A(1),01/07/2014,141000,14A(1),6A(1),01/07/2013,134000,14A(1),6A(1),01/07/2012,145000,14A(1),6A(1),
199,URALLA,2911606,NORMAL,"STANLEY VALE",,77,"STANLEY VALE LANE","URALLA",2358,"2/567937 4/567938 1, 2/627902",RU1,400.3,H,01/07/2016,1770000,14A(1),6A(1),01/07/2015,1540000,14A(1),6A(1),01/07/2014,1400000,14A(1),6A(1),01/07/2013,1500000,14A(1),6A(1),01/07/2012,1500000,14A(1),6A(1),
